name,pop,PD_sqmi
Cook,5227827,3197.7
DuPage,926485,2754.0
Kane,521874,995.6
Will,682108,803.2
Winnebago,292026,562.4
Lake,703170,513.8
McHenry,307888,504.1
St. Clair,268415,398.2
Kendall,118194,366.7
Madison,267937,361.8
Rock Island,146964,325.7
Peoria,187197,296.9
Sangamon,198808,226.7
Tazewell,135872,206.5
Champaign,204214,204.5
Boone,54005,191.5
Macon,109833,187.5
Kankakee,112682,165.4
DeKalb,104919,165.3
Williamson,66808,150.3
McLean,172390,145.3
Grundy,50173,116.6
Coles,53655,105.2
Jackson,60125,99.8
LaSalle,112698,98.2
Franklin,39774,92.2
Vermilion,80773,89.6
Monroe,33373,83.8
Stephenson,47053,83.3
Whiteside,57680,82.8
Adams,67113,77.0
Clinton,37952,75.4
Knox,52447,72.9
Woodford,38965,71.8
Effingham,34280,71.4
Ogle,52782,69.2
Marion,38922,67.6
Jefferson,38716,66.3
Saline,24876,64.3
Massac,15148,62.6
Morgan,35272,61.6
Henry,50031,60.6
Jersey,22751,60.3
Randolph,33091,55.4
McDonough,32388,54.9
Macoupin,47229,54.4
Wabash,11730,51.6
Perry,22034,49.3
Logan,30047,48.5
Lee,35248,48.4
Christian,34415,48.1
Douglas,19867,47.6
Bond,17571,45.9
Lawrence,16726,44.7
Richland,16144,44.6
Crawford,19626,44.0
Moultrie,14896,43.2
Montgomery,29740,41.9
Union,17620,41.7
Fulton,36616,41.5
DeWitt,16461,40.6
Menard,12658,40.1
Bureau,34361,39.3
Piatt,16552,37.7
Livingston,38476,36.8
Johnson,12650,36.3
Jo Daviess,22427,36.2
Cass,13440,35.0
Putnam,5895,34.2
Warren,17784,32.7
Carroll,15027,32.2
Clark,16240,32.2
Cumberland,10950,31.6
Alexander,7821,31.0
Marshall,12319,30.9
Fayette,22041,30.4
Edwards,6687,30.0
Pulaski,5967,29.4
Clay,13675,29.1
Edgar,18171,29.1
White,14549,29.0
Shelby,22216,28.9
Ford,13906,28.6
Mercer,16204,28.5
Iroquois,29272,26.2
Washington,14527,25.8
Mason,14309,25.4
Greene,13677,25.0
Hardin,4226,23.3
Wayne,16627,23.2
Hancock,18808,23.1
Brown,6878,22.4
Scott,5260,20.8
Stark,5888,20.4
Jasper,9658,19.4
Hamilton,8371,19.2
Pike,16244,19.1
Henderson,7074,17.9
Calhoun,5033,17.7
Schuyler,7454,16.9
Gallatin,5439,16.6
Pope,4362,11.7
