name,type,lat,lon,pop,LA_sqmi,PD_sqmi,county
Chicago,City,41.8755616,-87.6244212,2746388,227.73,12059.8,Cook
Aurora,City,41.7571701,-88.3147539,180542,45.023,4010.0,Kane
Joliet,City,41.5263603,-88.0840212,150362,64.516,2330.6,Will
Rockford,City,42.2713945,-89.093966,148655,64.544,2303.2,Winnebago
Elgin,City,42.03726,-88.2810994,114797,38.027,3018.8,Kane
Springfield,City,39.7990175,-89.6439575,114394,61.138,1871.1,Sangamon
Peoria,City,40.6938609,-89.5891008,113150,47.965,2359.0,Peoria
Champaign,City,40.1164841,-88.2430932,88302,22.928,3851.3,Champaign
Bloomington,City,40.4797828,-88.9939147,78680,27.129,2900.2,McLean
Moline,City,41.5058344,-90.5136642,42985,16.753,2565.8,Rock Island
Belleville,City,38.5135805,-89.9841627,42404,23.222,1826.0,St. Clair
Quincy,City,39.9356016,-91.4098727,39463,15.765,2503.2,Adams
Urbana,City,40.1117174,-88.207301,38336,11.83,3240.6,Champaign
Galesburg,City,40.9475652,-90.3712169,30052,17.743,1693.7,Knox
Danville,City,40.125222,-87.6304614,29204,17.856,1635.5,Vermilion
Alton,City,38.8908583,-90.1843091,25676,15.681,1637.4,Madison
Kankakee,City,41.1253903,-87.848682,24052,15.057,1597.4,Kankakee
Mount Vernon,City,38.3172715,-88.9031201,14600,14.583,1001.2,Jefferson
Effingham,City,39.0520902,-88.6029006,12252,10.309,1188.5,Effingham
Cairo,City,37.0057958,-89.1772449,1733,6.987,248.0,Alexander
