CLASS,ROUTE,LOCATION FROM - TO
I,IL 3,INT 255(S. Jct) to INT 255(N. Jct.)
I,IL 3,INT 55(S. Jct) to INT 55(N. Jct.)
I,IL 6,INT 74 to IL 29
I,IL 26,INT 180(E. Jct.) to INT 180(W. Jct.)
I,IL 29,INT 74 Exit 93 to Exit 95
I,IL 53,Biesterfield Rd.(Elk Grove Village) to IL 68
I,IL 53 (Extender),IL 68 to Lake Cook Rd (Long Grove)
I,IL 56,INT 88(W. Jct) to INT 88(E. Jct.) (Tollway)
I,IL 92,INT 280 to US 67
I,IL 92,INT 80 to INT 88 (Exit 6)
I,IL 110,Missouri State Line to US 24
I,IL 110,IL 164(E. Jct. near Monmouth) to INT 94
I,IL 122,INT 155 Exit 15 to Exit 19
I,IL 255,INT 270 to IL 143
I,IL 390 (Tollway),US 20 to IL 83
I,IL 394,IL RT 1 to INT 94
I,INT 55,Missouri State Line to US 41
I,INT 24,INT 57 to Kentucky State Line
I,INT 39,INT 55 to Wisconsin State Line
I,INT 57,Missouri State Line to INT 94
I,INT 64,Missouri State Line to Indiana State Line
I,INT 70,Missouri State Line to Indiana State Line
I,INT 72,Missouri State Line to INT 57
I,INT 74,Iowa State Line to Indiana State Line
I,INT 80,Iowa State Line to Indiana State Line (Including Tollway)
I,INT 88,INT 80 to INT 290 (Including Tollway)
I,INT 90,Wisconsin State Line to Indiana State Line (Including Tollway and Chicago Skyway)
I,INT 94,Wisconsin State Line to Indiana State Line (Including Tollway)
I,INT 155,INT 55 to INT 74
I,INT 172,INT 72 to US 24
I,INT 180,INT 80 to IL 26
I,INT 190,Chicago O'Hare to INT 90
I,INT 255,Missouri State Line to INT 270
I,INT 270,Missouri State Line to INT 70
I,INT 280,Iowa State Line to INT 80
I,INT 290,INT 90 (Tollway) to INT 94
I,INT 294 (Tollway),INT 94 to IL 394
I,INT 355,INT 80 to INT 290 (Including Tollway)
I,INT 474,INT 74(W. Jct.) to INT 74(E. Jct.)
I,US 6,Iowa State Line to INT 74(S. JCT.)
I,US 20,US 20 (BSN) W of Rockford to INT 39 at Cherry Valley
I,US 24,INT 474 Exit 6 to Exit 9
I,US 34,IL 164(E. Jct. near Monmouth) to INT 74
I,US 36,Missouri State Line to INT 72(Exit 133)
I,US 40,Missouri State Line to  INT 55(Exit 17)
I,US 40,INT 70(Exit 30) to INT 70(Exit 36)
I,US 40,INT 70(Exit 154) to Indiana State Line
I,US 41,INT 94(Exit 34) to INT 94(Exit 29)
I,US 41,INT 94(Exit 1) to Wisconsin State Line
I,US 50,Missouri State Line to INT 64(Exit 19)
I,US 50,IL 1 to Indiana State Line
I,US 51,INT 57(Exit 1) to INT 57(Exit 25)
I,US 51,Old US 51 (BSN)(S of Elwin) to INT 72 (Exit 141)
I,US 51,INT 74(Exit 135) to INT 39/90(Exit 1)
I,US 67,INT 72 to IL 104
II,103rd Street,INT 94 to Stoney Island
II,127th Street,IL 50 to INT 57
II,Adams Street,INT 474 to Washington St
II,Andrew Road,IL 29 to IL 124
II,Arsenal Road,INT 55 West Frontage Road to Baseline Road
II,Barrington Road,IL 59 to US 20
II,Bowman Avenue,Perrysville Avenue to 0.8 mile north Texas Avenue (Danville at INT 74 Exit 216)
II,Catlin / Tilton Blacktop,Catlin (State Jurisdiction N of Fleming St) to Tilton (State Jurisdiction N of 1450 E)
II,Church Street,INT 72 to Mattis Ave (Champaign)
II,Coal City Road,IL 113 to IL 129
II,Dieterich / Montrose Road,IL 121 to Ingraham Blktp(Testament Ln.) (Ingraham)
II,Dixie Highway,135th Street (Blue Island) to IL 83 (Harvey)
II,Douglas-Millstadt Road,IL 158 to Floraville Road (Jefferson St.)
II,Farmington Road,IL 116 to IL 8
II,Fullerton Avenue,Western Ave to INT 90/94 (Kennedy Expressway)
II,Glenwood / Dyer Road,IL 83 to IL 394
II,Highway 1250 / 1270E,Catlin (NS RR S. of Commercial St) to Georgetown / Indianola Road (650 N)
II,Hillview Blacktop(Eldred Road),IL 106 to Bluff Street (Hillview)
II,Hurst/Blairsville Road (Cambria Road),Colp Hwy (Herrin Rd) to IL 149
II,Hutsonville Road (Clover Road),IL 1 to Indiana State Line
II,IL 1,IL 146 to IL 394
II,IL 2,IL 40 to US 20
II,IL 2,Riverside Blvd (Rockford) to Wisconsin State Line
II,IL 3,INT 57 to INT 255(S. Jct.)
II,IL 3,INT 255(N. Jct.) to INT 55(S. Jct.)
II,IL 3,INT 55(N. Jct.) to IL 109
II,IL 4,IL 13 / 127 to INT 55 (BSN)
II,IL 5,INT 74 to INT 80
II,IL 7,US 6 to INT 80
II,IL 7,US 30 to US 6
II,IL 8,IL 78(W Jct) to Oak Hill Cemetery Rd (Oak Hill)
II,IL 8,IL 116(W. Jct) to IL 116(E. Jct)
II,IL 8,US 24 (BSN) to US 24
II,IL RT 9,Iowa State Line to INT 55
II,IL RT 9,INT 55 (BSN) (Bloomington) to Indiana State Line
II,IL 16,Illinois River Bridge (Hardin) to US 150
II,IL 17,IL 94 (E. Jct) to Indiana State Line
II,IL 18,IL 29 to IL 17
II,IL 19,IL 50 to INT 90 / 94
II,IL 21,US 14 to US 41
II,IL 22,US 14 to US 12
II,IL 23,IL 116 to OLD RT 66(N. Jct.)
II,IL 23,INT 55 to US 14
II,IL 25,INT 90 to IL 62
II,IL 26,IL 17 to IL 71
II,IL 26,US 6 to Wisconsin State Line
II,IL 29,US 51 to INT 74(S Jct.)
II,IL 29,INT 74(N. Jct.) to INT 180 (Connector)
II,IL 31,US 20 to US 12
II,IL 32,US 40 to IL 48
II,IL 33,IL 128 to IL 1
II,IL 34,IL 146(S. Jct) to IL 14
II,IL 35,US 20 to Wisconsin State Line
II,IL 37,US 51(Old) to IL 142/148(N. Jct.)
II,IL 37,US 50 to US 45
II,IL 38,US 52 to INT 294
II,IL 40,INT 74(Peoria) to IL 78
II,IL 41,US 136 to US 34
II,IL 43,US 30 to IL 60
II,IL 47,IL 10 to Wisconsin State Line
II,IL 48,INT 55 to IL 105
II,IL 48,INT 72(Exit 144) to IL 54
II,IL 49,INT 70 to US 45 / 52
II,IL 50,INT 57(Exit 315) to Wilmington/Peotone Rd (Peotone)
II,IL 50,Manhatten/Monee Road (Monee) to IL 19
II,IL 53,IL 113 to Army Trail Road (Addison)
II,IL 53,IL 68(SE. Jct) to US 12(N. Jct)
II,IL 54,INT 55 to INT 57
II,IL 56,IL 47 to INT 88
II,IL 56,IL 25 to IL 59
II,IL 57,INT 172 to US 24
II,IL 58,IL 59 to US 45
II,IL 58,IL 43(N. Jct) to IL 43(S. Jct)
II,IL 59,INT 55 to US 12(N. Jct)
II,IL 60,IL 83(W. Jct) to IL 83(E. Jct)
II,IL 60,IL 21 to US 41
II,IL 61,IL 96 to US 136
II,IL 62,IL 83 to IL 31
II,IL 64,IL 84 (E. Jct) to IL 78
II,IL 64,US 52(E. Jct) to INT 94
II,IL 68,IL 62(W Jct) to IL 59(E Jct)
II,IL 68,Barrington Road to US 14 (Until 12/31/2022)
II,IL 68,US 12 to INT 94
II,IL 70,US 20(BSN) to IL 75
II,IL 71,INT 180 / IL 26 to US 34
II,IL 72,IL 73 to IL 2(E. Jct.)
II,IL 72,INT 39 to IL 47(E. Jct.)
II,IL 72,IL 25 to Lee Street (Des Plaines)
II,IL 73,US 52/IL 64 to Wisconsin State Line
II,IL 75,US 20 to INT 39/90
II,IL 76 ,US 20 (BSN) to Wisconsin State Line
II,IL 78,US 67/IL 104 to IL 92(N. Jct.)
II,IL 78,INT 88 to IL RT 64
II,IL 78,US 20(S. Jct.) to Wisconsin State Line
II,IL 81,IL 78 to US 150
II,IL 82,IL 81 to IL 92
II,IL 83,US 30 to Torrence Avenue (Lynwood)
II,IL 83,INT 80 to INT 94
II,IL 83,IL 50(S. Jct) to US 12
II,IL 83,IL 68 to IL 173
II,IL 84,INT 80 to Wisconsin State Line
II,IL 89,IL 116 to INT 80
II,IL 90,IL 78 to IL 40
II,IL 91,IL 90(S. JCT.) to IL 90(N.JCT.)
II,IL 91,IL 17(S. Jct) to IL 17(N. Jct)
II,IL 91,IL 93(S. Jct) to US 34/IL 78
II,IL 92,US 67 to INT 74
II,IL 92,IL 84(E. Jct.) to INT 80
II,IL 92,INT 88(E. Jct) to US 34
II,IL 93,IL 91 to IL 40
II,IL 94,US 24 to IL 96
II,IL 94,US 34(S. Jct) to US 34(N. Jct)
II,IL 95,IL 41 to IL 97
II,IL 96,IL 100 to IL 9(N. Jct)
II,IL 97,INT 55 (BSN) in Springfield to INT 74
II,IL 99,IL 104 to IL 101
II,IL 100,IL 96 to Nebo Road (CH 10 at Pearl)
II,IL 100,IL 106(W. Jct.) to IL 78 (South of Canton)
II,IL 101,IL 61 to US 67
II,IL 102,IL 53 to US 45
II,IL 103,US 24 to US 67
II,IL 104,US 24 to IL 29
II,IL 105,IL 48 to Old US 51 (BSN)
II,IL 105,US 36 to INT 72
II,IL 106,US 67 to INT 72
II,IL 107,INT 72 to IL 99
II,IL 108,Illinois River to INT 55
II,IL 109,IL 3 to US 67
II,IL 110,US 24 to IL 336 (W of Tennessee)
II,IL 110,IL 336 (US 136 West of Macomb) to IL 164(E. Jct. Near Monmouth)
II,IL 111,INT 55 to IL 104
II,IL 113,IL 47 to Coal City Road (Diamond)
II,IL 113,IL 129 to IL 17
II,IL 114,IL 17 to Indiana State Line
II,IL 115,IL 9 to US 45
II,IL 116,US 67 to US 45
II,IL 117,INT 74 to IL 17
II,IL 119,IL 1 to Indiana State Line
II,IL 120,IL 47 to IL 131
II,IL 121,IL 130 to IL 105
II,IL 121,INT 72 to INT 55
II,IL 122,IL 29 to IL 9
II,IL 123,IL 125 to INT 55
II,IL 124,Andrew Road (Sherman) to INT 55 (BSN)
II,IL 125,IL 97 to US 67
II,IL 126,IL 47 to INT 55
II,IL 127,IL 3 to IL 146 (NW. Jct.)
II,IL 127,IL 13 (SW Jct.) to INT 55
II,IL 128,IL 16 (W. Jct) to IL 16(E. Jct)
II,IL 129,IL 113 TO INT 55
II,IL 130,IL 1 to INT 74
II,IL 131,IL 120 to IL 132
II,IL 131,IL 173 to Wisconsin State Line
II,IL 132,US 45 to IL 131
II,IL 133,IL 32 to US 150
II,IL 136,Iowa State Line to IL 84
II,IL 137,Peterson Road (Libertyville) to INT 94
II,IL 137,Greenwood Avenue (Waukegan) to Wisconsin State Line
II,IL 138,IL 4(N. Jct.) to IL 4(S. Jct.)
II,IL 140,IL 143 to IL 127 (E. Jct.)
II,IL 141,US 45 to Indiana State Line
II,IL 142,IL 37 to IL 13
II,IL 143,US 67 to IL 157(W. Jct.)
II,IL 143,US 40(W. Jct.) to IL 127
II,IL 145,US 45 (Metropolis) to US 45 (Harrisburg)
II,IL 146,Missouri State Line to IL 1
II,IL 148,IL 37 (Pulley's Mill) to IL 37 (Mt. Vernon)
II,IL 149,IL 3 to IL 34
II,IL 150,Missouri State Line to IL 154
II,IL 151,IL 3 to IL 4
II,IL 152,IL 13 to US 51
II,IL 153,IL 154 to IL 13(N. Jct.)
II,IL 154,IL 3 to US 51
II,IL 154,IL 148(W. Jct.) to IL 37
II,IL 155,Fort De Chartes Historic Site to IL 3
II,IL 156,IL 3 to IL 13
II,IL 157,IL 3 to IL 15
II,IL 157,IL 143(N. Jct.) to IL 140
II,IL 158,IL 3 to IL 15
II,IL 159,IL 3 to INT 270
II,IL 159,IL 143(S. Jct.) to IL 16
II,IL 160,IL 177(E. Jct) to IL 140
II,IL 161,IL 158(E. Jct.) to IL 4
II,IL 163,IL 158 to IL 157
II,IL 164,US 34 (Gladstone) to US 34 (Galesburg)
II,IL 166,US 45 to IL 13
II,IL 167,US 34 to IL 180
II,IL 169,IL 37 to US 45
II,IL 170,IL 23 to US 6
II,IL 171,US 6 to IL 83(N. Jct.)
II,IL 172,IL 92 to IL 40
II,IL 173,IL 251 to IL 137
II,IL 176,IL 23 to US 12
II,IL 177,IL 4 to US 51
II,IL 178,CH 14 to S. of Vermilion River (Lowell)
II,IL 185,IL 127 to US 40(E. Jct.)
II,IL 203,INT 55 to Madison County Line
II,IL 242,IL 142 to IL 15
II,IL 251,INT 39 (Exit 8) to US 51/IL 75
II,IL 255,IL 143 to US 67
II,IL 267,IL 111 to INT 72
II,IL 336,US 24 to US 136(S. Jct.)
II,IL 336,US 136(N. Jct.) to US 67(Macomb)
II,INT 55 (BSN),IL 29(S. Jct)(Springfield) to INT 55
II,INT 55 (BSN),INT 55(Exit 157) TO INT 55(Exit 167)(Bloomington)
II,INT 55 (E. Frontage Road),INT 55 NB to Arsenal Road
II,INT 55 (W. Frontage Road),IL 140 to 2 miles N of Hamel (Just N. of Church Road)
II,INT 55 (W. Frontage Road),Arsenal Road to INT 55 SB
II,Hawthorne Street/Madison Avenue,IL 3 to IL 255
II,Ivanhoe Road,IL 83/137 to IL 120
II,Joliet Road,IL 53 to INT 55
II,Lynch Road,Southgate Drive to 0.27 mile north INT 74 (Danville at INT 74 Exit 220)
II,Mattis Avenue,IL 10 to US 150
II,McKinley Bridge,Missouri State Line to IL 3
II,Mounds Road (CH 8),US 51 (OLD) to INT 57
II,Oakton Street,IL 83 to US 45
II,Palatine Road / Willow Road,US 45/IL 21 to INT 294
II,Paradise Lake Road,Cumberland County Line to IL 16
II,Peterson Road,US 45 to IL 137
II,Prospect Avenue,US 150 to INT 74
II,Seneca Road,US 6 to INT 80(Exit 105)
II,Shirley Road (850 N Rd),US 66 (OLD) to INT 55
II,St. Clair Avenue,INT 55 / INT 70 to ramp at EB INT 64(16TH Street Ramp)
II,Torrence Avenue,US 30 to IL 83
II,Touhy Ave,IL 72 to US 45
II,University Avenue,INT 72 to Mattis Ave (Champaign)
II,US 6,INT 74(Exit 5) to US 34(E. Jct)(Princeton)
II,US 6,IL 89(W. Jct) to IL 89(E. Jct)
II,US 6,IL 178 to IL 7 (W. Jct)
II,US 6,IL 53(W. Jct) to IL 53(E. Jct)
II,US 6,US 30(W. Jct) to US 30(E. Jct)(Joliet)
II,US 6,IL 7(E. Jct) to INT 80 (E. Jct)
II,US 12,Wisconsin State Line to INT 290
II,US 12,INT 55 to Indiana State Line
II,US 14,Wisconsin State Line to INT 94
II,US 20,Iowa State Line to US 20 (BSN) (W. of Rockford)
II,US 20,INT 39 (Cherry Valley) to INT 290(Exit 12)
II,US 20,IL 64(W. Jct) to IL 64(E. Jct)
II,US 20,US 45(W. Jct) to INT 290(Exit 16)
II,US 20,INT 55 to Indiana State Line
II,US 20 (BSN),US 20 (W. Jct) to US 20 (E. Jct)(Freeport)
II,US 20 (BSN),US 20(W. Jct) to Springfield Ave(Rockford)
II,US 20 (BSN),IL 70 to IL 251
II,US 20 (BSN),INT 90 to US 20 (Belvidere)
II,US 24,Missouri State Line to INT 74(Exit 6)
II,US 24,INT 74(Exit 9) to Indiana State Line
II,US 24 (BSN),US 24 to IL 8 (E. Jct)
II,US 30,Iowa State Line to Indiana State Line
II,US 34,Iowa State Line to IL 164(E. Jct)(Monmouth)
II,US 34,INT 74 to IL 26(E.  Jct)
II,US 34,IL 92 to IL 47
II,US 34,IL 71 to IL 59
II,US 34,IL 53 to INT 294
II,US 36,INT 72 (Exit 133) to Indiana State Line
II,US 36 (OLD),IL 106(Winchester) to INT 72(Exit 52)
II,US 36 (OLD),IL 104(W. Jct) to INT 72(Exit 68)(Jacksonville)
II,US 40,INT 55(Exit 17) to INT 70(Exit 30)
II,US 40,IL 185(W. Jct) to INT 70 (Exit 68)
II,US 40,IL 32 to IL 1
II,US 41,Indiana State Line to US 12/20(N. Jct)
II,US 41,INT 94 (Exit 29) to INT 94 (Exit 1)
II,US 45,IL 145(S. Jct) to INT 57(Exit 177)(Neoga)
II,US 45,IL 121(S. Jct) to US 150(S. Jct)
II,US 45,INT 74(Exit 184) to US 136
II,US 45,Champaign/Ford County Line to IL 9(N. Jct)
II,US 45,US 24(S. Jct) to US 24(N. Jct)
II,US 45,IL 116 to INT 55(Exit 279)
II,US 45,INT 290 to Wisconsin State Line
II,US 50,INT 64(Exit 19) to IL 1(Lawrenceville)
II,US 50 (OLD),IL 160 to US 50/IL 127
II,US 51,INT 57(Exit 25) to US 51 (BSN)(S of Elwin)
II,US 51,INT 72(Exit 141) to INT 74(Exit 135)
II,US 51,INT 39/90(Exit 1) to Wisconsin State Line
II,US 51 (BSN),US 51(S. of Elwin) to Cleveland Ave(Decatur)
II,US 51 (OLD),Sycamore St to Mounds Rd (CH 8)(Mounds)
II,US 51 (OLD),Mile 18 Road (TR 43) to CH 9(First South St)(FAS 941)
II,US 52,IL 84(W. Jct) to IL 78
II,US 52,IL 26(W. Jct) to INT 55
II,US 52,US 30(W. Jct) to IL 53(E. Jct)
II,US 52,US 45(W. Jct) to Indiana State Line
II,US 54,Missouri State Line to INT 72(Exit 35)
II,US 66 (OLD),IL 138 to IL 16
II,US 66 (OLD),Elkhart(CH10) to Broadwell
II,US 66 (OLD),Shirley Rd (850 N) to 2.7 miles N. of Shirley Rd
II,US 66 (OLD),US 24 to CH 1 (Prairie St)(Odell)
II,US 67,Missouri State Line to INT 72(Exit 60)
II,US 67,IL 104 to Iowa State Line
II,US 136,Iowa State Line to US 150(E. Jct)(Danville)
II,US 150,US 6 (Moline) to Main Street (Galesburg)
II,US 150,IL 97(W. Jct) to INT 74
II,US 150,IL 78(W. Jct) to IL 78(E. Jct)
II,US 150,INT 74 (Exit 89) to IL 8(W. Jct)
II,US 150,Washington St. (Carlock) to INT 55(Exit 160)
II,US 150,IL 47 (W. Jct) to US 45(W. Jct)
II,US 150,IL 130 (W. Jct) to IL 130 (E. Jct)(Urbana)
II,US 150,IL 49(W. Jct) to IL 49(E. Jct)
II,US 150,US 136(E. Jct) to Indiana State Line
II,Warsaw Road,IL 96 to Warsaw
II,Washington Street,Adams St to IL 8/116 (Peoria)
